run_id,run_label,scenario,writer_instance,reader_instance,client_instance,tps,tps_config,n,min_ms,p50_ms,p75_ms,p90_ms,p95_ms,p99_ms,max_ms,mean_ms,stdev_ms
M1,v16-M1-r7glarge-tps1280,blue-green,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,5,3800,4600,5005,5722,5961,6152,6200,4761,823
M1,v16-M1-r7glarge-tps1280,failover,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,5,6200,9300,9300,13920,15459,16692,17000,9620,3934
M1,v16-M1-r7glarge-tps1280,reboot,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,5,0,0,100,100,100,100,100,40,48
M2,v16-M2-r7g2xl-tps1280,blue-green,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v16-tps1280,5,3201,3401,4500,4560,4580,4596,4600,3800,616
M2,v16-M2-r7g2xl-tps1280,failover,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v16-tps1280,5,8400,10100,11300,14720,15860,16772,17000,11040,3175
M2,v16-M2-r7g2xl-tps1280,reboot,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v16-tps1280,5,0,0,0,0,0,0,0,0,0
M3,v16-M3-r7g4xl-tps1280,blue-green,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,5,3300,3900,4301,10900,13100,14860,15300,6020,4655
M3,v16-M3-r7g4xl-tps1280,failover,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,5,8300,10900,11100,11160,11180,11196,11200,9960,1358
M3,v16-M3-r7g4xl-tps1280,reboot,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,5,0,0,0,0,0,0,0,0,0
M4,v16-M4-r7g8xl-tps1280,blue-green,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,5,3000,3200,4200,4260,4280,4296,4300,3560,567
M4,v16-M4-r7g8xl-tps1280,failover,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,5,7600,8100,8900,9800,10100,10340,10400,8540,1036
M4,v16-M4-r7g8xl-tps1280,reboot,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,5,0,0,0,0,0,0,0,0,0
T2,v16-T2-r7g8xl-tps2560,blue-green,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,5,3416,4200,4202,4440,4520,4584,4600,3983,453
T2,v16-T2-r7g8xl-tps2560,failover,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,5,8100,9000,9800,11480,12040,12488,12600,9540,1648
T2,v16-T2-r7g8xl-tps2560,reboot,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,5,0,0,0,0,0,0,0,0,0
T3,v16-T3-r7g8xl-tps4000,blue-green,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,3,3200,3400,3400,3400,3400,3400,3400,3333,94
T3,v16-T3-r7g8xl-tps4000,failover,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,5,7900,11001,12600,15060,15880,16536,16700,11320,3190
T3,v16-T3-r7g8xl-tps4000,reboot,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,5,0,0,0,0,0,0,0,0,0
