run_id,run_label,scenario,cluster,round,writer_instance,reader_instance,client_instance,tps,tps_config,writeMaxMs,readMaxMs,result_dir
M1,v16-M1-r7glarge-tps1280,blue-green,test-v11-1,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,4600,4600,e2e-results/v16-M1-r7glarge-tps1280-blue-green-test-v11-1-r1_20260521_120858
M1,v16-M1-r7glarge-tps1280,blue-green,test-v11-2,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,3800,3800,e2e-results/v16-M1-r7glarge-tps1280-blue-green-test-v11-2-r1_20260521_120958
M1,v16-M1-r7glarge-tps1280,blue-green,test-v11-3,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,5005,5005,e2e-results/v16-M1-r7glarge-tps1280-blue-green-test-v11-3-r1_20260521_120958
M1,v16-M1-r7glarge-tps1280,blue-green,test-v11-4,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,4201,4201,e2e-results/v16-M1-r7glarge-tps1280-blue-green-test-v11-4-r1_20260521_120958
M1,v16-M1-r7glarge-tps1280,blue-green,test-v11-5,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,6200,6200,e2e-results/v16-M1-r7glarge-tps1280-blue-green-test-v11-5-r1_20260521_120858
M1,v16-M1-r7glarge-tps1280,failover,test-v11-1,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,9300,9300,e2e-results/v16-M1-r7glarge-tps1280-failover-test-v11-1-r1_20260521_121205
M1,v16-M1-r7glarge-tps1280,failover,test-v11-2,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,6300,6300,e2e-results/v16-M1-r7glarge-tps1280-failover-test-v11-2-r1_20260521_121305
M1,v16-M1-r7glarge-tps1280,failover,test-v11-3,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,17000,17000,e2e-results/v16-M1-r7glarge-tps1280-failover-test-v11-3-r1_20260521_121305
M1,v16-M1-r7glarge-tps1280,failover,test-v11-4,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,6200,6200,e2e-results/v16-M1-r7glarge-tps1280-failover-test-v11-4-r1_20260521_121305
M1,v16-M1-r7glarge-tps1280,failover,test-v11-5,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,9300,9300,e2e-results/v16-M1-r7glarge-tps1280-failover-test-v11-5-r1_20260521_121205
M1,v16-M1-r7glarge-tps1280,reboot,test-v11-1,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M1-r7glarge-tps1280-reboot-test-v11-1-r1_20260521_121442
M1,v16-M1-r7glarge-tps1280,reboot,test-v11-2,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M1-r7glarge-tps1280-reboot-test-v11-2-r1_20260521_121542
M1,v16-M1-r7glarge-tps1280,reboot,test-v11-3,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,100,0,e2e-results/v16-M1-r7glarge-tps1280-reboot-test-v11-3-r1_20260521_121542
M1,v16-M1-r7glarge-tps1280,reboot,test-v11-4,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,100,0,e2e-results/v16-M1-r7glarge-tps1280-reboot-test-v11-4-r1_20260521_121541
M1,v16-M1-r7glarge-tps1280,reboot,test-v11-5,1,r7g.large,t3.medium,c6i.2xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M1-r7glarge-tps1280-reboot-test-v11-5-r1_20260521_121442
